original_feature,abs_coefficient
catv,19.67062281185299
manv,8.601109023586146
obs,5.378759554793938
obsm,4.479435697408643
place,3.037499346005842
infra,2.7951069710612955
catu,2.2429954154408662
situ,2.1222429738038793
choc,1.9769381657864948
col,1.8793119851140556
surf,1.550148416115081
atm,1.2096766223576794
catr,1.1444161618202888
ceinture,1.11662040003207
motor,1.101222395493813
int,1.079783262439022
agg,0.9456262809645241
gilet_reflechissant,0.5898842509628622
lum,0.5648333824446946
dispositif_enfant,0.564116145075494
autre,0.5021104461135807
circ,0.4802957997077719
non determinable,0.35826269306157227
age,0.3376230680344623
aucun,0.33312463618987526
prof,0.32596446020301706
vosp,0.3078090399431426
senc,0.24805701221420146
casque,0.23777377982199283
airbag,0.20619458078209546
gants,0.1747917766232334
plan,0.1556080909281567
lat,0.15053825312368121
hour_cos,0.05882271627084635
hour_sin,0.055299571480287364
is_weekend,0.050036665928079115
day_cos,0.02468263322311144
weekday_sin,0.02236728331993387
month_cos,0.01124767572850186
long,0.009871472111906632
day_sin,0.00853006057241289
month_sin,0.0065795464121262675
sexe,0.004960193549166341
weekday_cos,0.0023095770609404187
