original_feature,importance
lat,0.05874222405917722
long,0.0494756133404767
catv,0.048106721112227635
age,0.047516691411322476
manv,0.04486472687394284
ceinture,0.04188458349678264
col,0.03981942185986572
agg,0.0376313191633135
catr,0.03758503372528014
choc,0.03705557401359752
obsm,0.0360087030066505
day_sin,0.033924314244734514
day_cos,0.033459724208089264
obs,0.03144551309799396
hour_cos,0.02434224229783578
hour_sin,0.024341075996152622
circ,0.022932662035683796
situ,0.022876204680688617
int,0.02252999149633133
senc,0.022020245651308876
place,0.0217022370212131
casque,0.02118783741828207
weekday_sin,0.018689450639849295
month_sin,0.018077221124765654
lum,0.017941497423130812
month_cos,0.017834894404393654
catu,0.01688379833912505
atm,0.015695243059345533
motor,0.014313986792978083
plan,0.014034529424487324
weekday_cos,0.013991463649442079
infra,0.013441483698625158
sexe,0.012496287780175155
prof,0.01228979119669861
aucun,0.011679440180089061
surf,0.010284712332037637
vosp,0.00862515622953681
non determinable,0.00702611060931646
gants,0.006964567299377912
is_weekend,0.005686036319158877
autre,0.001907404306567905
airbag,0.001302079290569303
dispositif_enfant,0.0007164576677563743
gilet_reflechissant,0.0006657280216224276
