original_feature,importance
lat,0.05958737123044758
long,0.05111063992595746
age,0.04983969836461021
catv,0.0489380346052547
manv,0.044120002589657606
col,0.04022611721283216
ceinture,0.0396340945817655
agg,0.037308841080157515
choc,0.03701648683807978
catr,0.03634788102373648
obsm,0.034464327842977115
day_sin,0.0344455671391014
day_cos,0.03384198137790885
obs,0.03154047220611727
place,0.024456420488013695
hour_sin,0.02434195004195526
hour_cos,0.024206391257438495
circ,0.022935911222153497
situ,0.022208357160736443
int,0.022105615544926287
casque,0.022014797083173557
senc,0.021740456764038137
weekday_sin,0.018515733140012473
month_sin,0.01787149411365684
month_cos,0.017663161340510998
lum,0.01757933720307154
catu,0.01694167018316308
atm,0.01530879381391033
motor,0.014031503061197154
weekday_cos,0.013853641333308004
plan,0.013604609615784498
infra,0.013066238756422252
sexe,0.012631040876872019
prof,0.011970389723739157
aucun,0.011783991393500934
surf,0.010017469549414671
vosp,0.00831323103779641
gants,0.007507889274222288
non determinable,0.006952924475341496
is_weekend,0.005497674103785413
autre,0.0018518093679354218
airbag,0.0012792905447696185
dispositif_enfant,0.0006783481880812786
gilet_reflechissant,0.000648343322465125
