original_feature,importance
ceinture,0.12363306903720472
agg,0.09487511748555369
obsm,0.08192254383465208
catr,0.08031835796896926
catv,0.07795570331374768
col,0.05455990569432339
obs,0.05066660001171947
situ,0.048682499167158014
lat,0.044890905155735246
casque,0.04444659519813042
circ,0.04334606520386367
aucun,0.03396281632713636
place,0.03044878244092053
catu,0.028136774426802316
manv,0.023144547954576093
choc,0.02079635258587859
gants,0.020653476555011267
long,0.020134580808838388
age,0.018076379130200514
plan,0.008986558900887419
int,0.007143058580738511
lum,0.007066104651520379
motor,0.006926383669457208
non determinable,0.005932711133460008
vosp,0.00362262697378247
autre,0.0027732007338434374
sexe,0.0019904390545339443
hour_cos,0.0018494986899981818
infra,0.0016596912056571847
senc,0.0013712961072198172
day_cos,0.001266060708868057
day_sin,0.0011705580081278354
atm,0.0011209080852933356
hour_sin,0.001039067097599487
prof,0.0010327001091551904
surf,0.0008761654404700722
weekday_sin,0.000798050262176286
month_cos,0.0005704718045366749
dispositif_enfant,0.0005145965993867681
month_sin,0.0004902364774985041
is_weekend,0.00044349986262866563
weekday_cos,0.0003450489167576862
gilet_reflechissant,0.00029572886389497177
airbag,6.426576208621311e-05
