original_feature,importance
ceinture,0.23428190490058964
lat,0.1027039204976342
agg,0.09889545976933987
obs,0.09537659128067387
obsm,0.07100485757722605
catr,0.07016865043495164
col,0.06727329838508904
age,0.03434294231313852
circ,0.03307997735356537
long,0.024445334393584133
non determinable,0.02388490370700676
catv,0.02201893059467323
situ,0.021947832649066076
manv,0.01741075797611636
choc,0.015098083653520205
casque,0.014015799958481212
place,0.012995149913940261
aucun,0.011049018589242603
catu,0.010815356037160894
lum,0.006064597548325039
hour_cos,0.0041690863596845805
dispositif_enfant,0.002740994551939733
hour_sin,0.0010445044509513194
sexe,0.0010106416320829674
vosp,0.000906207868063078
int,0.0006629379688511921
senc,0.0006251420134449939
plan,0.0005130842817720316
autre,0.00037734311225217314
infra,0.000299418461468214
gilet_reflechissant,0.00017360369917190598
atm,0.00016834285120617259
motor,0.00011388689544377203
day_cos,0.00010915496749779014
surf,6.561352603230478e-05
day_sin,5.962466782417885e-05
weekday_sin,5.833884819720498e-05
gants,1.661661103137618e-05
month_sin,1.2089699759964346e-05
prof,0.0
month_cos,0.0
airbag,0.0
weekday_cos,0.0
is_weekend,0.0
