original_feature,importance
ceinture,0.10655624376778898
agg,0.09842355085424721
obsm,0.0826768743404663
catr,0.07678922329564025
catv,0.07157970024107625
casque,0.06641617723148491
col,0.060061358077016236
obs,0.05218900080568781
situ,0.04973817321807402
lat,0.043799638292854895
circ,0.04280959532273691
aucun,0.0334129845485204
catu,0.02850419492459797
place,0.027622317376968082
manv,0.021790574457502054
long,0.02137265602004972
choc,0.01997887544166213
gants,0.018760574088847723
age,0.018176327976709854
plan,0.008459703284893337
int,0.008303456008028913
motor,0.0076430550812090345
lum,0.007117797761222628
non determinable,0.004823343492618274
vosp,0.003087143617145224
autre,0.0026725533166370406
sexe,0.0023985099479859094
hour_cos,0.001860228167672254
infra,0.0015739139285803974
senc,0.0014705540621907142
day_cos,0.0013536811915422012
day_sin,0.0011639729705892213
atm,0.001134794605023296
prof,0.00108807498948877
hour_sin,0.0010539777619334597
surf,0.0008493551917036287
weekday_sin,0.0007145340485203068
month_cos,0.0005991763897439373
month_sin,0.000523539706519111
is_weekend,0.00038558503926409596
weekday_cos,0.0003601075365013452
dispositif_enfant,0.0003553576737462231
gilet_reflechissant,0.0002761979794128067
airbag,7.334596589605396e-05
