original_feature,importance
ceinture,0.1756173974102227
agg,0.10808863500587
lat,0.08830469206051104
obs,0.08397468089075764
catr,0.0801056813878332
casque,0.06040865346091943
obsm,0.05044637697275342
situ,0.04443860677692425
age,0.04428560248050019
col,0.04236149258059021
aucun,0.03266240036336202
catv,0.032425412194403674
circ,0.02517998078640098
long,0.022438625627687347
non determinable,0.021817563920855463
manv,0.020964755691063413
catu,0.020434259326427916
place,0.01628274476338619
choc,0.011662448565103649
lum,0.00674015395738456
hour_cos,0.003256884533139291
autre,0.0016769825819284026
hour_sin,0.0014554386370641964
int,0.001290409493088742
sexe,0.0009449628328849916
vosp,0.0009172872725551672
dispositif_enfant,0.0008744407320838915
motor,0.00029500477447342986
senc,0.00020129155683424672
atm,0.0001808294177411265
day_sin,8.04960525355137e-05
infra,5.856770375897184e-05
day_cos,5.0713373106706664e-05
gants,3.1319465768285576e-05
weekday_cos,2.769969676630545e-05
prof,1.75076533134617e-05
surf,0.0
airbag,0.0
is_weekend,0.0
plan,0.0
month_sin,0.0
month_cos,0.0
gilet_reflechissant,0.0
weekday_sin,0.0
