feature,coefficient,abs_coefficient
cat__catv_38,-1.8454096460060752,1.8454096460060752
cat__obsm_1,-1.7026792903890933,1.7026792903890933
cat__manv_22,-1.5012653254990933,1.5012653254990933
cat__catv_39,-1.354594169458402,1.354594169458402
cat__catu_3,1.2420463198156988,1.2420463198156988
cat__place_10,1.2420463198156988,1.2420463198156988
cat__obsm_4,1.182449134677995,1.182449134677995
cat__catv_80,1.1646862738271104,1.1646862738271104
cat__catv_35,1.1156409577743518,1.1156409577743518
bin__ceinture,-1.1074488258784871,1.1074488258784871
cat__catv_21,-1.0837476746577908,1.0837476746577908
cat__catv_50,1.039855983202537,1.039855983202537
cat__catv_2,1.0313635381459054,1.0313635381459054
cat__catu_1,-1.0034591558190997,1.0034591558190997
cat__manv_6,0.9017781659008584,0.9017781659008584
cat__catv_13,-0.8981055861935732,0.8981055861935732
cat__catv_16,-0.8963278234691261,0.8963278234691261
cat__catv_37,-0.8492766970492486,0.8492766970492486
cat__catv_15,-0.8318035339821365,0.8318035339821365
cat__catv_36,0.7916177589381007,0.7916177589381007
cat__catv_33,0.777328580757426,0.777328580757426
cat__catv_1,0.7708033766370662,0.7708033766370662
cat__manv_13,0.7617007440992303,0.7617007440992303
cat__obs_0,-0.7565419312487166,0.7565419312487166
cat__situ_5.0,-0.7455938314360241,0.7455938314360241
cat__obs_17,0.7436616455479769,0.7436616455479769
cat__catv_31,0.7367092140395414,0.7367092140395414
cat__obs_6,0.6969734908530024,0.6969734908530024
cat__infra_7.0,0.6787288948887635,0.6787288948887635
cat__catv_41,0.6787112955380886,0.6787112955380886
cat__place_1,0.6781787197268814,0.6781787197268814
cat__obs_2,0.6688618010606713,0.6688618010606713
cat__infra_1.0,-0.6500718801026246,0.6500718801026246
cat__surf_6.0,0.6388519808532027,0.6388519808532027
cat__catv_14,-0.6268855494214703,0.6268855494214703
cat__catv_20,-0.6246907827586812,0.6246907827586812
cat__manv_5,0.6237563191128518,0.6237563191128518
bin__gilet_reflechissant,-0.6133044955878298,0.6133044955878298
cat__col_1.0,0.5948477598149249,0.5948477598149249
cat__catv_60,0.5932420793043925,0.5932420793043925
cat__agg_1.0,0.5854539432030278,0.5854539432030278
cat__col_4.0,-0.5748376818282749,0.5748376818282749
cat__catv_17,-0.5735633235922231,0.5735633235922231
bin__autre,0.558838946747524,0.558838946747524
cat__manv_3,-0.5486162658777362,0.5486162658777362
cat__choc_9,0.5211649131461901,0.5211649131461901
cat__obsm_9,-0.5193836410844486,0.5193836410844486
cat__catv_34,0.49488783313188855,0.49488783313188855
cat__obsm_0,0.47442814959354973,0.47442814959354973
cat__obs_14,-0.4666191129927732,0.4666191129927732
cat__catv_10,-0.46314297248240743,0.46314297248240743
bin__dispositif_enfant,-0.4604799477425196,0.4604799477425196
cat__surf_5.0,-0.4595784751752689,0.4595784751752689
cat__manv_19,0.4552722336640597,0.4552722336640597
cat__catv_3,0.45190088490889496,0.45190088490889496
cat__int_7.0,-0.43087033123587604,0.43087033123587604
cat__situ_2.0,0.4159628827040782,0.4159628827040782
cat__choc_6,-0.4082752335120866,0.4082752335120866
cat__int_8.0,0.39803375960290566,0.39803375960290566
cat__agg_2.0,-0.3966676164961951,0.3966676164961951
bin__aucun,0.3828855228745959,0.3828855228745959
cat__manv_0,0.37800717098343534,0.37800717098343534
cat__manv_4,0.3779843615279837,0.3779843615279837
cat__motor_6,0.3714499789566512,0.3714499789566512
cat__catr_3.0,0.371129464353739,0.371129464353739
bin__non determinable,-0.3674963173286005,0.3674963173286005
cat__obs_1,-0.3557102253107645,0.3557102253107645
cat__manv_15,-0.34875383507016633,0.34875383507016633
num__age,0.3444897333807122,0.3444897333807122
cat__catv_30,0.33387656315302616,0.33387656315302616
cat__situ_3.0,0.3316299377791373,0.3316299377791373
cat__catv_40,-0.3271264379660539,0.3271264379660539
cat__obsm_5,0.3118387330718802,0.3118387330718802
cat__place_8,-0.30758955671721366,0.30758955671721366
cat__place_6,-0.30492320667987205,0.30492320667987205
cat__infra_4.0,0.29020245902074576,0.29020245902074576
cat__catv_32,0.2845662587146769,0.2845662587146769
cat__place_4,-0.27819500747621073,0.27819500747621073
cat__motor_3,-0.27656139830204307,0.27656139830204307
cat__motor_2,-0.27541189818343786,0.27541189818343786
cat__manv_7,0.2749869888244521,0.2749869888244521
cat__choc_1,0.27489886145098763,0.27489886145098763
cat__situ_8.0,0.2741802049368606,0.2741802049368606
cat__obs_4,-0.2683882753835671,0.2683882753835671
cat__obsm_2,0.2654166695028658,0.2654166695028658
cat__catr_1.0,-0.26192911127734314,0.26192911127734314
cat__atm_2.0,-0.2610351773772724,0.2610351773772724
cat__place_3,-0.2602196515526544,0.2602196515526544
bin__casque,0.2565913861363526,0.2565913861363526
cat__manv_20,-0.25348764361131715,0.25348764361131715
cat__manv_17,0.25273661945517945,0.25273661945517945
cat__circ_2.0,0.25040544004201243,0.25040544004201243
cat__surf_4.0,-0.2490794470084555,0.2490794470084555
cat__circ_1.0,-0.24720246308145682,0.24720246308145682
bin__airbag,0.24126559652864374,0.24126559652864374
cat__obs_16,-0.24007352678987653,0.24007352678987653
cat__catv_0,0.23947749562036247,0.23947749562036247
cat__obs_12,-0.23408220451229086,0.23408220451229086
cat__obs_10,0.23302813025675825,0.23302813025675825
cat__choc_5,-0.23178874987733847,0.23178874987733847
cat__manv_23,-0.22875714647907736,0.22875714647907736
cat__choc_4,-0.22817890961536524,0.22817890961536524
cat__manv_10,-0.22485358987906134,0.22485358987906134
cat__col_7.0,0.21837383291800794,0.21837383291800794
cat__manv_16,-0.21741802867800528,0.21741802867800528
cat__obs_8,0.2167854030454541,0.2167854030454541
cat__infra_6.0,-0.21215212333370356,0.21215212333370356
cat__manv_12,-0.20629135734955933,0.20629135734955933
cat__place_5,-0.20571437138747345,0.20571437138747345
cat__situ_6.0,-0.20488737494752185,0.20488737494752185
cat__obs_5,-0.20343479230785594,0.20343479230785594
cat__atm_6.0,0.19572055294720644,0.19572055294720644
cat__col_2.0,-0.19414518681102727,0.19414518681102727
cat__situ_4.0,0.19268414798619773,0.19268414798619773
