feature,coefficient,abs_coefficient
cat__catv_38,-1.9979116567650044,1.9979116567650044
cat__obsm_1,-1.840514588181137,1.840514588181137
cat__manv_22,-1.5205781711420676,1.5205781711420676
cat__catv_39,-1.4145295279873003,1.4145295279873003
cat__catu_3,1.311592630049356,1.311592630049356
cat__place_10,1.311592630049356,1.311592630049356
cat__obsm_4,1.1076055765658037,1.1076055765658037
bin__ceinture,-1.1070605409182794,1.1070605409182794
cat__catv_16,-1.0885344577288307,1.0885344577288307
cat__catv_21,-1.05129463192046,1.05129463192046
cat__catv_80,1.0059370108918675,1.0059370108918675
cat__catv_37,-0.9938297772991188,0.9938297772991188
cat__agg_1.0,0.9817739537264883,0.9817739537264883
cat__situ_5.0,-0.9632482541239797,0.9632482541239797
cat__catv_35,0.9567156968751618,0.9567156968751618
cat__catv_15,-0.9101528413881845,0.9101528413881845
cat__catv_50,0.9090076530761017,0.9090076530761017
cat__catv_13,-0.8897373990362031,0.8897373990362031
cat__catu_1,-0.870735916173321,0.870735916173321
cat__catv_2,0.8674604897603551,0.8674604897603551
cat__manv_6,0.8516522084293269,0.8516522084293269
cat__manv_13,0.8254816843455497,0.8254816843455497
cat__place_1,0.7473003541859545,0.7473003541859545
cat__obsm_9,-0.7420383505764729,0.7420383505764729
cat__obs_0,-0.7382323789543577,0.7382323789543577
cat__catv_14,-0.7373268722399078,0.7373268722399078
cat__obs_2,0.717988287757434,0.717988287757434
cat__manv_5,0.7070612900535417,0.7070612900535417
cat__catv_36,0.6822574021335691,0.6822574021335691
cat__obs_17,0.681010253937208,0.681010253937208
cat__obs_6,0.6737116154057589,0.6737116154057589
cat__infra_7.0,0.6725535214945025,0.6725535214945025
cat__catv_33,0.659115906704763,0.659115906704763
cat__catv_31,0.6553995181477388,0.6553995181477388
cat__catv_17,-0.6385509885094318,0.6385509885094318
cat__catv_1,0.606916770855892,0.606916770855892
cat__col_1.0,0.6057526793633738,0.6057526793633738
cat__catv_10,-0.5991773739045839,0.5991773739045839
cat__col_4.0,-0.5888520531423712,0.5888520531423712
bin__gilet_reflechissant,-0.5783321039277816,0.5783321039277816
cat__catv_20,-0.5522781883833967,0.5522781883833967
cat__infra_1.0,-0.551675837723311,0.551675837723311
bin__autre,0.5413344688064596,0.5413344688064596
cat__manv_19,0.5148752408129911,0.5148752408129911
bin__dispositif_enfant,-0.495847390860204,0.495847390860204
cat__manv_3,-0.48531086551582414,0.48531086551582414
cat__int_7.0,-0.48139386051356875,0.48139386051356875
cat__choc_9,0.4408125386580524,0.4408125386580524
cat__catv_40,-0.44037280065165535,0.44037280065165535
cat__manv_0,0.434941615214519,0.434941615214519
cat__choc_6,-0.4283390798618879,0.4283390798618879
cat__catv_60,0.4163805158686272,0.4163805158686272
cat__manv_4,0.39757189568538626,0.39757189568538626
bin__aucun,0.39660109592639126,0.39660109592639126
cat__surf_5.0,-0.39122914680392873,0.39122914680392873
cat__catr_3.0,0.3890289214741361,0.3890289214741361
cat__infra_4.0,0.383712259358599,0.383712259358599
cat__situ_6.0,-0.381355996097869,0.381355996097869
cat__obs_14,-0.352291343018891,0.352291343018891
cat__catv_42,-0.34562717948388055,0.34562717948388055
num__age,0.33857165991898697,0.33857165991898697
bin__non determinable,-0.33505966997794223,0.33505966997794223
cat__int_5.0,-0.3340930584883282,0.3340930584883282
cat__obs_1,-0.3330907915662961,0.3330907915662961
cat__catv_34,0.32897523439869025,0.32897523439869025
cat__circ_1.0,-0.3288558658088044,0.3288558658088044
cat__motor_2,-0.31821277102419115,0.31821277102419115
cat__motor_3,-0.31141690363540464,0.31141690363540464
