original_feature,importance
ceinture,0.2388176346091392
agg,0.12046824896855055
lat,0.113152319877437
obs,0.09952969901611104
catr,0.0680893307547026
col,0.05167929644220009
obsm,0.05024010552504641
age,0.03471841169797188
circ,0.03224626734176983
non determinable,0.027337365628431334
long,0.023537956348483283
catv,0.021508031178218867
manv,0.017798188929782157
situ,0.017428621479562072
casque,0.017328070083981635
choc,0.013623451320454099
catu,0.011660670793513853
place,0.011231677494092063
aucun,0.009224979043655818
lum,0.00584158878894663
hour_cos,0.005313845427544363
dispositif_enfant,0.0020025484447462162
hour_sin,0.0018992543230934552
int,0.0015267644783646802
vosp,0.0012130179581467952
sexe,0.0007267355938410255
autre,0.0003689430296888357
senc,0.0002641611470736924
gilet_reflechissant,0.00026172031693167644
motor,0.00025446095279413214
atm,0.0001719155337335505
day_sin,0.0001374147541195331
plan,9.734467977809768e-05
day_cos,8.987475193033103e-05
airbag,5.18524825811607e-05
infra,4.704882964956961e-05
month_sin,4.6641961984064316e-05
gants,2.867527889555764e-05
is_weekend,2.185307113908291e-05
prof,1.4011661913728598e-05
surf,0.0
month_cos,0.0
weekday_cos,0.0
weekday_sin,0.0
