original_feature,importance
ceinture,0.1756173974102103
agg,0.10808863500586291
lat,0.0883046920605108
obs,0.08398003421616591
catr,0.08010568138791142
casque,0.0604086534610106
obsm,0.05044637697270369
situ,0.04443860677689888
age,0.044290949262075774
col,0.0423614925806171
aucun,0.03266240036335987
catv,0.03242541219440983
circ,0.02517998078632658
long,0.02243862562769417
non determinable,0.021817563920847008
manv,0.020964755691064298
place,0.020265536624015614
catu,0.016446120684186064
choc,0.011657095239715289
lum,0.006740153957379609
hour_cos,0.003256884533140259
autre,0.0016769825819305038
hour_sin,0.0014554386370600827
int,0.0012904094930740178
sexe,0.0009449628328922155
vosp,0.0009172872725551218
dispositif_enfant,0.0008744407320837741
motor,0.0002950047744737941
senc,0.0002012915568345118
atm,0.00018082941774099547
day_sin,8.049605253533591e-05
infra,5.8567703758966566e-05
day_cos,5.071337310670208e-05
gants,3.131946576828275e-05
weekday_cos,2.7699696766302953e-05
prof,1.750765331347875e-05
surf,0.0
airbag,0.0
is_weekend,0.0
plan,0.0
month_sin,0.0
month_cos,0.0
gilet_reflechissant,0.0
weekday_sin,0.0
