original_feature,importance
lat,0.06047630049440253
long,0.05072884108904013
age,0.05002828147430706
catv,0.04718030370733042
ceinture,0.04456782312514248
manv,0.04376219563785789
col,0.0397209383227196
catr,0.037580228170271165
choc,0.03674327510980225
agg,0.036705088423899954
obsm,0.03426828328483302
day_sin,0.0342045731689167
day_cos,0.033897729926306824
obs,0.03259421144054568
hour_sin,0.024232380242309445
hour_cos,0.024202756966697048
place,0.02332583145706591
situ,0.022616551521656106
circ,0.02201191165019587
int,0.021971081062009942
senc,0.02174348304998059
casque,0.019898560134945276
weekday_sin,0.018493029796609262
month_sin,0.017851530211406258
month_cos,0.01762234938893204
catu,0.01736126108573203
lum,0.017274465644113217
atm,0.015218045734558733
motor,0.01405481868540908
weekday_cos,0.013850306688345202
plan,0.013529916363300342
infra,0.013016674716769476
sexe,0.012836373971937421
prof,0.011937959345866842
aucun,0.011262276622057914
surf,0.009986042505929688
vosp,0.008272175818652963
gants,0.008023625490606711
non determinable,0.006977935210001455
is_weekend,0.005472770369142697
autre,0.001864632359777015
airbag,0.0013154575573102608
dispositif_enfant,0.0006952280689004084
gilet_reflechissant,0.0006224949044051248
