feature,importance
bin__ceinture,0.2351091676476382
num__lat,0.10845197967812702
cat__obs_0,0.09129943591301733
cat__agg_2.0,0.06989227558400526
cat__catr_3.0,0.05327751306251611
cat__agg_1.0,0.05043713570122488
cat__col_1.0,0.04107469955138714
cat__obsm_0,0.03842509549155863
num__age,0.03577835218142054
bin__non determinable,0.02918991587262
num__long,0.025196859931175986
cat__circ_2.0,0.02485424605525078
cat__situ_1.0,0.016145184587572876
bin__casque,0.015593305908897638
cat__obsm_1,0.01171174781608733
cat__catu_3,0.011059289495633628
bin__aucun,0.00922524664554856
cat__catv_33,0.008933664038757956
cat__manv_13,0.007789977142746966
cat__catr_4.0,0.007676845622381093
cat__circ_1.0,0.007499062520484357
cat__choc_1,0.006918472770596522
cat__catr_1.0,0.006721130695737867
cat__place_10,0.006193081256991674
cat__manv_15,0.00587141184920408
cat__col_4.0,0.005376553103978063
num__hour_cos,0.004150981647174389
cat__lum_3.0,0.003950055438057653
cat__catu_1,0.0035409389204291526
cat__choc_4,0.0034704666753290715
cat__catv_7,0.003254362596394326
cat__col_2.0,0.0030978945153513223
cat__catv_38,0.0027885747134485926
cat__lum_1.0,0.0024357669705555437
cat__obs_6,0.002361780959198598
cat__obsm_2,0.002089885149358163
cat__catv_1,0.001991435098112375
cat__obs_2,0.0018223125888256675
bin__dispositif_enfant,0.0017651642735214371
num__hour_sin,0.0016744743353196711
cat__catv_37,0.0015028788616489055
cat__obs_1,0.0014467328428493034
cat__choc_6,0.001411019000680284
cat__col_7.0,0.0013700551823985602
cat__catr_2.0,0.0012165917242251479
cat__catu_2,0.0012010545450373794
cat__place_1,0.0011550800092544698
cat__catv_21,0.0011484149111441345
cat__manv_5,0.0010243218467971395
cat__choc_9,0.001013672079852376
cat__obsm_9,0.000978175951417624
cat__vosp_0.0,0.0009706328411301209
cat__catv_2,0.000965936202474343
cat__manv_0,0.0009474505282613284
cat__col_6.0,0.000905590852483878
cat__int_6.0,0.0007677517592359178
cat__catv_10,0.0007577446342667227
cat__situ_3.0,0.0006918728214653487
cat__manv_2,0.0006026518888645065
cat__catv_15,0.0005437819263659535
cat__manv_16,0.0005343050195861749
cat__sexe_2,0.0004955169259408728
cat__situ_5.0,0.0004855935689636996
cat__choc_8,0.0004718970570933716
cat__catv_31,0.00046701672917458416
cat__col_3.0,0.00046307965091681825
cat__manv_19,0.0004425602083281847
cat__int_1.0,0.0004131453606682165
cat__choc_7,0.0003967989083469077
cat__obsm_4,0.0003870750877551655
cat__catv_30,0.000384768420196726
cat__motor_5,0.00035288887280511533
bin__autre,0.00035055720270932804
cat__int_2.0,0.00032280108674203635
cat__circ_3.0,0.00031616308796986127
cat__catv_3,0.00031030900430074665
cat__choc_5,0.0002986595489817066
cat__manv_9,0.0002474814856650922
cat__atm_2.0,0.00021733714494208992
bin__gilet_reflechissant,0.00021402712658044292
cat__col_5.0,0.00021156199764387604
cat__senc_3,0.000197931856536477
cat__catv_34,0.00019092703089373074
cat__manv_23,0.0001837693112442549
cat__catv_50,0.00016308826876734443
cat__catv_80,0.00016117656016024435
cat__manv_6,0.00015162945723450516
cat__manv_1,0.0001274138206243267
cat__catr_7.0,0.00012565258185450451
cat__place_2,0.00011836758025846838
cat__obs_12,0.00011123540757870593
num__day_sin,0.00010622104712833441
cat__motor_2,0.00010338596336222384
num__weekday_sin,9.807512402225479e-05
cat__sexe_1,9.53302604004609e-05
cat__choc_2,9.400821237046878e-05
cat__infra_4.0,9.006034946562387e-05
num__day_cos,8.955586899096677e-05
cat__vosp_2.0,8.75643478245156e-05
cat__manv_3,7.298634280814002e-05
cat__manv_17,7.175687826060351e-05
cat__obs_14,6.590866699966823e-05
cat__manv_7,6.336599304829174e-05
cat__senc_0,6.0635899348370825e-05
cat__obs_4,5.8348336560248344e-05
bin__airbag,5.784915330844379e-05
cat__int_8.0,5.6049594057803334e-05
cat__int_7.0,5.305027251505403e-05
cat__choc_3,4.4893732526096285e-05
cat__catv_13,4.279599380689372e-05
cat__atm_7.0,4.214695637365516e-05
cat__motor_3,4.137661839247033e-05
cat__obs_3,4.01832703271232e-05
cat__manv_20,4.0011184365119214e-05
num__month_cos,3.771172121815235e-05
cat__place_7,3.673924840278103e-05
cat__catv_17,3.667450572467437e-05
cat__obs_11,3.478343242456499e-05
bin__is_weekend,2.8213912285597315e-05
cat__catv_39,2.6901327044664454e-05
cat__plan_2.0,2.4818449964815223e-05
cat__int_9.0,2.2700557327847412e-05
cat__infra_5.0,1.902238399249562e-05
cat__infra_3.0,1.882050075172982e-05
num__month_sin,1.734020292700911e-05
cat__obs_16,1.644417351044549e-05
cat__prof_3.0,1.5004832143265101e-05
cat__atm_3.0,1.4157508983103591e-05
cat__obs_5,1.3431626561720876e-05
cat__manv_21,1.3311701686167429e-05
cat__catv_32,1.1218819594415092e-05
cat__infra_8.0,5.255243240266564e-06
cat__catv_36,0.0
cat__infra_0.0,0.0
cat__manv_22,0.0
cat__infra_1.0,0.0
cat__place_3,0.0
cat__manv_18,0.0
cat__infra_2.0,0.0
cat__place_4,0.0
cat__place_5,0.0
cat__manv_14,0.0
cat__manv_25,0.0
cat__place_6,0.0
cat__manv_12,0.0
cat__manv_11,0.0
cat__manv_10,0.0
cat__infra_6.0,0.0
cat__manv_8,0.0
cat__infra_7.0,0.0
cat__infra_9.0,0.0
cat__manv_4,0.0
cat__manv_24,0.0
cat__motor_0,0.0
cat__manv_26,0.0
cat__place_8,0.0
cat__plan_1.0,0.0
cat__plan_3.0,0.0
bin__gants,0.0
cat__plan_4.0,0.0
cat__surf_1.0,0.0
cat__surf_2.0,0.0
cat__surf_3.0,0.0
cat__surf_4.0,0.0
num__weekday_cos,0.0
cat__surf_5.0,0.0
cat__senc_2,0.0
cat__senc_1,0.0
cat__surf_6.0,0.0
cat__motor_6,0.0
cat__surf_7.0,0.0
cat__motor_4,0.0
cat__surf_8.0,0.0
cat__surf_9.0,0.0
cat__motor_1,0.0
cat__prof_2.0,0.0
cat__place_9,0.0
cat__situ_2.0,0.0
cat__obs_13,0.0
cat__catr_6.0,0.0
cat__prof_4.0,0.0
cat__obs_9,0.0
cat__obs_8,0.0
cat__obs_7,0.0
cat__catv_16,0.0
cat__catv_20,0.0
cat__catr_5.0,0.0
cat__atm_4.0,0.0
cat__atm_5.0,0.0
cat__catv_99,0.0
cat__atm_9.0,0.0
cat__catv_60,0.0
cat__catv_43,0.0
cat__catv_42,0.0
cat__catv_41,0.0
cat__catv_40,0.0
cat__atm_8.0,0.0
cat__atm_6.0,0.0
cat__catv_14,0.0
cat__catr_9.0,0.0
cat__catv_35,0.0
cat__obs_15,0.0
cat__prof_1.0,0.0
cat__lum_2.0,0.0
cat__lum_4.0,0.0
cat__lum_5.0,0.0
cat__situ_4.0,0.0
cat__int_3.0,0.0
cat__vosp_3.0,0.0
cat__situ_6.0,0.0
cat__int_4.0,0.0
cat__choc_0,0.0
cat__int_5.0,0.0
cat__obsm_6,0.0
cat__obsm_5,0.0
cat__situ_8.0,0.0
cat__catv_0,0.0
cat__vosp_1.0,0.0
cat__atm_1.0,0.0
cat__obs_17,0.0
cat__circ_4.0,0.0
cat__obs_10,0.0
