original_feature,importance
lat,0.05856430766099827
long,0.049740408974584635
age,0.04775844995334373
catv,0.04733978542983308
manv,0.044244186065378374
ceinture,0.04411104122486928
col,0.03996444540837702
agg,0.03732354027433754
choc,0.0372038127739503
catr,0.036739586089606015
obsm,0.0345594100823045
day_sin,0.033863890995671164
day_cos,0.03339097096131141
obs,0.032167291630902504
hour_cos,0.024256663002778275
hour_sin,0.0242411627401073
circ,0.023815202065226415
int,0.02260374344763394
situ,0.022095185178063033
senc,0.021935835385551383
place,0.021580270323810304
casque,0.020776760176812795
weekday_sin,0.018640431977524935
lum,0.01817893578836744
month_sin,0.018016325788720217
month_cos,0.01780106827727393
catu,0.017053851092261013
atm,0.015670646392686827
motor,0.014269610554615024
plan,0.01426660615821945
weekday_cos,0.013953501077374728
infra,0.0134798865968871
sexe,0.012468422775465622
prof,0.012185141112213135
aucun,0.011850653175795598
surf,0.010321089701344774
vosp,0.00854897796141299
gants,0.007780966277416392
non determinable,0.006922606572406928
is_weekend,0.005644470048800514
autre,0.002003849993413559
airbag,0.0012956469569179194
dispositif_enfant,0.0007101623461594953
gilet_reflechissant,0.0006611995292711326
