original_feature,importance
ceinture,0.2324751764867156
agg,0.10348256593053853
lat,0.09992873795170441
obs,0.09553992414332306
obsm,0.07092290932816366
catr,0.06817081885461454
col,0.06509369848517745
age,0.03680447863500107
circ,0.0314913725407753
long,0.026639028149447054
non determinable,0.024961324635247195
situ,0.02259942272765954
catv,0.022526575972578906
manv,0.017357955353859457
choc,0.017091930230949244
place,0.011973249948583651
casque,0.01126623210664342
catu,0.010593422145973329
aucun,0.009963602132828911
lum,0.007025508280391558
hour_cos,0.003671844771953062
dispositif_enfant,0.003116441808772318
hour_sin,0.0018068855679998887
sexe,0.0009786300923092259
vosp,0.0009628703961371457
senc,0.0009363785600926998
int,0.0006921510236552698
autre,0.00034326252736995646
atm,0.00033166618815092685
motor,0.00032862116008997944
infra,0.00032355842595822236
gilet_reflechissant,0.0001346232155126464
day_sin,9.827268903339295e-05
day_cos,9.103241825870761e-05
weekday_sin,9.011253447009396e-05
plan,7.897444161871121e-05
prof,4.6930984056609825e-05
surf,3.8074169446590685e-05
is_weekend,2.1734984938675435e-05
month_cos,0.0
gants,0.0
month_sin,0.0
airbag,0.0
weekday_cos,0.0
