original_feature,abs_coefficient
catv,19.459800182394694
manv,8.775112627442264
obs,5.066752961225433
obsm,4.1933827219008
place,2.935002613663586
infra,2.7834563514731685
catu,2.2387710352778005
situ,2.054984912659136
choc,1.911053972393883
col,1.8665059612865809
catr,1.217402803189738
atm,1.179639675392584
ceinture,1.1297453188898576
int,1.1096854963262375
surf,1.0419915086995803
motor,0.9956595823715411
agg,0.9364987207833877
gilet_reflechissant,0.5961371274830969
dispositif_enfant,0.5681411696553968
circ,0.5458250818721914
autre,0.5457172889399723
lum,0.5027245874751569
non determinable,0.36799151751778625
age,0.34012457735201207
aucun,0.33573312056931215
vosp,0.3320727843361606
casque,0.25949014273329607
prof,0.2591701570763112
senc,0.22532888170312443
airbag,0.22439729531916566
gants,0.20011871056379568
plan,0.1730895397524237
lat,0.1553121563019099
hour_cos,0.06277257314357024
hour_sin,0.049658897981935284
is_weekend,0.0400914776162576
day_cos,0.03270170465286816
weekday_sin,0.017755866908362818
month_sin,0.015589127058509459
month_cos,0.014104132860261995
day_sin,0.013295883734722982
long,0.009125602424274407
sexe,0.0017906949330402432
weekday_cos,0.0005299426154780384
