feature,coefficient,abs_coefficient
cat__obs_4,-0.2833926310903555,0.2833926310903555
bin__airbag,0.27817696657812924,0.27817696657812924
cat__situ_1.0,-0.27246238500910047,0.27246238500910047
bin__casque,0.27144334025328387,0.27144334025328387
cat__choc_4,-0.2696451749228571,0.2696451749228571
cat__manv_26,0.2679980065140535,0.2679980065140535
cat__catv_3,0.2574790012706015,0.2574790012706015
cat__atm_2.0,-0.2512437558389178,0.2512437558389178
cat__catv_7,-0.2500601502383535,0.2500601502383535
cat__motor_6,0.24233878836395353,0.24233878836395353
cat__int_8.0,0.24095367340750598,0.24095367340750598
cat__situ_2.0,0.2386996569070313,0.2386996569070313
cat__catr_2.0,0.23265523335325622,0.23265523335325622
cat__col_7.0,0.23171740514066264,0.23171740514066264
cat__manv_7,0.2279273319207822,0.2279273319207822
cat__choc_1,0.22561698982364417,0.22561698982364417
cat__manv_15,-0.22026635327566693,0.22026635327566693
cat__catv_0,0.21965472883763815,0.21965472883763815
cat__catr_5.0,0.21507106236442325,0.21507106236442325
cat__col_2.0,-0.21361865639811092,0.21361865639811092
cat__obs_8,0.2126769603532282,0.2126769603532282
cat__catv_30,0.2102385903472621,0.2102385903472621
cat__obsm_0,0.20517760103371638,0.20517760103371638
cat__infra_8.0,0.2022943193518428,0.2022943193518428
cat__lum_3.0,0.1921914370441334,0.1921914370441334
cat__catv_32,0.18522795612333698,0.18522795612333698
cat__circ_2.0,0.18425256332182796,0.18425256332182796
cat__infra_5.0,0.1839062414394561,0.1839062414394561
bin__gants,-0.17537663387836824,0.17537663387836824
cat__col_6.0,0.17093919722170728,0.17093919722170728
num__lat,-0.1701655800365029,0.1701655800365029
cat__surf_4.0,0.1680323645423522,0.1680323645423522
cat__obsm_5,-0.16353312344460655,0.16353312344460655
cat__obs_15,0.16351120868055893,0.16351120868055893
cat__atm_6.0,0.1635057581282976,0.1635057581282976
cat__surf_3.0,0.15637912682259653,0.15637912682259653
cat__atm_3.0,-0.15550846131651258,0.15550846131651258
cat__lum_4.0,0.15145350332223204,0.15145350332223204
cat__atm_1.0,-0.1512907420978433,0.1512907420978433
cat__situ_3.0,0.15007823482658386,0.15007823482658386
cat__obs_11,-0.1478281095562011,0.1478281095562011
cat__infra_9.0,0.1440658613946508,0.1440658613946508
cat__prof_4.0,0.13858763956953465,0.13858763956953465
cat__obs_10,0.13831312036549676,0.13831312036549676
cat__manv_23,-0.1368730786774742,0.1368730786774742
cat__vosp_1.0,-0.13668907372531108,0.13668907372531108
cat__manv_16,-0.13157070307329713,0.13157070307329713
cat__int_6.0,-0.12861379982083487,0.12861379982083487
cat__manv_20,-0.12439294025599752,0.12439294025599752
cat__vosp_0.0,0.12157607954690182,0.12157607954690182
cat__catv_42,-0.11937290193735171,0.11937290193735171
cat__place_8,-0.11855193902264231,0.11855193902264231
cat__senc_0,0.11638278518272882,0.11638278518272882
cat__catr_1.0,-0.11427935147679576,0.11427935147679576
cat__manv_2,0.11343628002152352,0.11343628002152352
cat__motor_1,0.11319890305921729,0.11319890305921729
cat__atm_8.0,-0.11234094373799285,0.11234094373799285
cat__circ_4.0,0.11221728855118854,0.11221728855118854
cat__prof_3.0,0.11055873081811536,0.11055873081811536
cat__int_1.0,0.1092550788155729,0.1092550788155729
cat__atm_7.0,0.10866465615750381,0.10866465615750381
cat__senc_3,0.10175287500837556,0.10175287500837556
cat__choc_7,0.0971965716108361,0.0971965716108361
cat__place_7,0.09594825112932072,0.09594825112932072
cat__int_9.0,0.09584083361427669,0.09584083361427669
cat__motor_5,-0.09573820425943373,0.09573820425943373
cat__manv_18,0.09313417881896034,0.09313417881896034
cat__lum_1.0,-0.0902931405756034,0.0902931405756034
cat__infra_6.0,-0.08763048689448749,0.08763048689448749
cat__plan_4.0,-0.08452631367336569,0.08452631367336569
cat__infra_3.0,-0.08443433865349453,0.08443433865349453
num__hour_cos,0.08402455930618384,0.08402455930618384
cat__manv_24,-0.08144080415641304,0.08144080415641304
cat__manv_25,-0.07974468123273884,0.07974468123273884
cat__place_9,0.07832704309148715,0.07832704309148715
cat__surf_2.0,-0.0782395706893377,0.0782395706893377
cat__choc_8,0.07508440761893126,0.07508440761893126
cat__lum_5.0,-0.07051165831114196,0.07051165831114196
cat__manv_12,-0.06850057417838201,0.06850057417838201
cat__col_3.0,-0.06766986295426225,0.06766986295426225
cat__manv_10,-0.06512583183885551,0.06512583183885551
num__hour_sin,0.06219040024169857,0.06219040024169857
cat__manv_9,-0.05840952163061849,0.05840952163061849
cat__atm_9.0,0.05763867807492654,0.05763867807492654
cat__int_2.0,0.05642252319102609,0.05642252319102609
cat__plan_2.0,0.05601937740875695,0.05601937740875695
