feature,coefficient,abs_coefficient
cat__catv_38,-1.9961913332347294,1.9961913332347294
cat__obsm_1,-1.881745493086135,1.881745493086135
cat__catv_39,-1.5249111327429952,1.5249111327429952
cat__manv_22,-1.5109188656947405,1.5109188656947405
cat__place_10,1.3731897648632985,1.3731897648632985
cat__catu_3,1.3731897648632985,1.3731897648632985
cat__catv_16,-1.220187229503104,1.220187229503104
cat__catv_21,-1.1637448618451822,1.1637448618451822
bin__ceinture,-1.1105045834162817,1.1105045834162817
cat__catv_35,1.106089098233523,1.106089098233523
cat__catv_80,1.0710454490936794,1.0710454490936794
cat__obsm_4,1.0149602381784832,1.0149602381784832
cat__agg_1.0,0.9850228378709915,0.9850228378709915
cat__situ_5.0,-0.9565440976733068,0.9565440976733068
cat__catv_50,0.9558833362740704,0.9558833362740704
cat__catv_37,-0.9528239778088934,0.9528239778088934
cat__catv_13,-0.928988033507769,0.928988033507769
cat__catv_15,-0.9289657917552413,0.9289657917552413
cat__catu_1,-0.9136676532314133,0.9136676532314133
cat__catv_2,0.8863977414723636,0.8863977414723636
cat__manv_6,0.8742839178055346,0.8742839178055346
cat__place_1,0.8686530601965784,0.8686530601965784
cat__manv_13,0.8302564739129027,0.8302564739129027
cat__infra_7.0,0.8252010721829404,0.8252010721829404
cat__obs_17,0.7680045743627016,0.7680045743627016
cat__catv_36,0.7623505829469432,0.7623505829469432
cat__obs_2,0.7598715991297211,0.7598715991297211
cat__catv_14,-0.7520852692965411,0.7520852692965411
cat__obsm_9,-0.7484175661400774,0.7484175661400774
cat__obs_6,0.7230792790546988,0.7230792790546988
cat__manv_5,0.7136990949220569,0.7136990949220569
cat__catv_20,-0.7045599390678812,0.7045599390678812
cat__obs_0,-0.7034857902414688,0.7034857902414688
cat__catv_31,0.676022869213815,0.676022869213815
cat__catv_1,0.6652922048423904,0.6652922048423904
cat__catv_33,0.6648210539095999,0.6648210539095999
cat__catv_17,-0.6600290903078608,0.6600290903078608
bin__gilet_reflechissant,-0.6005681425503411,0.6005681425503411
cat__catv_10,-0.5950026929696408,0.5950026929696408
cat__col_1.0,0.5945178162999558,0.5945178162999558
cat__col_4.0,-0.5770808854814963,0.5770808854814963
cat__infra_1.0,-0.5662153187212586,0.5662153187212586
bin__autre,0.5536271819437965,0.5536271819437965
cat__catv_60,0.5190997118765964,0.5190997118765964
cat__catv_40,-0.5059335858545088,0.5059335858545088
cat__manv_19,0.5022280894106231,0.5022280894106231
cat__int_7.0,-0.4949311091567891,0.4949311091567891
bin__dispositif_enfant,-0.4938968747103954,0.4938968747103954
cat__manv_3,-0.49122499640773726,0.49122499640773726
cat__surf_5.0,-0.4479962696654622,0.4479962696654622
cat__manv_4,0.443528973378368,0.443528973378368
cat__choc_9,0.44239189670423223,0.44239189670423223
cat__choc_6,-0.4397492317217191,0.4397492317217191
cat__manv_0,0.4255234008700314,0.4255234008700314
cat__situ_6.0,-0.4046152568991708,0.4046152568991708
cat__catr_3.0,0.39733083448041406,0.39733083448041406
cat__infra_4.0,0.3967872138007532,0.3967872138007532
cat__catv_41,0.381856498505264,0.381856498505264
bin__aucun,0.37546355590611674,0.37546355590611674
cat__catv_34,0.36852197962685723,0.36852197962685723
cat__int_5.0,-0.35528515636449753,0.35528515636449753
cat__obs_14,-0.3460659319627359,0.3460659319627359
bin__non determinable,-0.3453988168562154,0.3453988168562154
num__age,0.34144516486867615,0.34144516486867615
cat__circ_1.0,-0.31396116461896767,0.31396116461896767
cat__catv_42,-0.3087471537363244,0.3087471537363244
cat__surf_6.0,0.30570784448637445,0.30570784448637445
cat__obs_1,-0.29974316233639325,0.29974316233639325
cat__atm_2.0,-0.2958662606889487,0.2958662606889487
cat__manv_14,0.29567814851278346,0.29567814851278346
cat__motor_3,-0.29111953163616733,0.29111953163616733
cat__manv_17,0.2884544601665646,0.2884544601665646
cat__motor_2,-0.2877567592831288,0.2877567592831288
cat__motor_6,0.28623869419095954,0.28623869419095954
cat__catv_7,-0.2853268517471003,0.2853268517471003
cat__choc_5,-0.28252625754080796,0.28252625754080796
cat__situ_1.0,-0.280943544576973,0.280943544576973
cat__manv_15,-0.27555871172107654,0.27555871172107654
cat__catv_3,0.2711246622708904,0.2711246622708904
cat__surf_8.0,-0.25422227441668915,0.25422227441668915
bin__casque,0.25373115461955487,0.25373115461955487
cat__obs_8,0.2527151536275017,0.2527151536275017
cat__choc_4,-0.25063597410979777,0.25063597410979777
cat__manv_7,0.24998710746461122,0.24998710746461122
cat__manv_1,0.2478388854612089,0.2478388854612089
cat__obsm_0,0.24286236324237687,0.24286236324237687
cat__situ_2.0,0.24224227613590107,0.24224227613590107
cat__int_8.0,0.24152051133587804,0.24152051133587804
cat__choc_1,0.2409092846010402,0.2409092846010402
bin__airbag,0.2404140638154534,0.2404140638154534
cat__obs_4,-0.238263872933925,0.238263872933925
cat__catr_1.0,-0.23789813451371278,0.23789813451371278
cat__obs_16,-0.23562288151825786,0.23562288151825786
cat__manv_26,0.23038436060683617,0.23038436060683617
cat__col_7.0,0.22110032220418074,0.22110032220418074
cat__infra_8.0,0.2194279047008938,0.2194279047008938
cat__col_2.0,-0.21564800208552798,0.21564800208552798
cat__obs_10,0.20325158318036365,0.20325158318036365
cat__obs_15,0.19378508880030032,0.19378508880030032
cat__infra_5.0,0.1908498480439567,0.1908498480439567
cat__catv_30,0.1827271939615679,0.1827271939615679
cat__atm_1.0,-0.18025279389756474,0.18025279389756474
cat__atm_3.0,-0.1754197976421412,0.1754197976421412
cat__catr_7.0,0.1746699938430734,0.1746699938430734
cat__manv_23,-0.17436522179914005,0.17436522179914005
cat__lum_3.0,0.17423529162514473,0.17423529162514473
cat__place_7,0.17352587998998448,0.17352587998998448
cat__circ_2.0,0.17246937668203305,0.17246937668203305
cat__col_6.0,0.17209711990509263,0.17209711990509263
cat__catv_32,0.17168705406480028,0.17168705406480028
cat__lum_4.0,0.17159490634597224,0.17159490634597224
cat__obs_12,-0.16763692864978413,0.16763692864978413
num__lat,-0.16282404117432084,0.16282404117432084
cat__int_6.0,-0.15840145553994373,0.15840145553994373
cat__manv_20,-0.1578331834971993,0.1578331834971993
cat__manv_10,-0.15585897918773914,0.15585897918773914
bin__gants,-0.15263235621078503,0.15263235621078503
cat__catr_4.0,-0.15181543642839565,0.15181543642839565
cat__situ_3.0,0.15121563205135286,0.15121563205135286
cat__infra_6.0,-0.1500191670708383,0.1500191670708383
cat__manv_16,-0.1470552753786168,0.1470552753786168
cat__infra_9.0,0.14567057735235567,0.14567057735235567
cat__vosp_0.0,0.14222935166373946,0.14222935166373946
cat__atm_8.0,-0.14074356660855217,0.14074356660855217
cat__manv_24,-0.13805996996740896,0.13805996996740896
cat__prof_3.0,0.13563813996132126,0.13563813996132126
cat__manv_25,-0.12806318691382323,0.12806318691382323
cat__motor_1,0.12780745785805656,0.12780745785805656
cat__place_9,0.12726301546498536,0.12726301546498536
cat__atm_6.0,0.12114172970052026,0.12114172970052026
cat__catr_6.0,-0.12066611720794537,0.12066611720794537
cat__lum_1.0,-0.11875955322343887,0.11875955322343887
cat__catv_0,0.11836928613713016,0.11836928613713016
cat__obs_11,-0.11476252392749184,0.11476252392749184
cat__vosp_1.0,-0.1137628184258481,0.1137628184258481
cat__catr_2.0,0.11372830789666077,0.11372830789666077
cat__prof_4.0,0.11327844176809138,0.11327844176809138
cat__senc_0,0.1118548077616823,0.1118548077616823
cat__manv_12,-0.10897130374110145,0.10897130374110145
cat__catr_5.0,0.10794661990605746,0.10794661990605746
cat__senc_3,0.10501467804913787,0.10501467804913787
cat__atm_7.0,0.10017161426577698,0.10017161426577698
cat__manv_9,-0.09504081825881114,0.09504081825881114
cat__surf_9.0,-0.09382801697070364,0.09382801697070364
cat__circ_4.0,0.09336373464172076,0.09336373464172076
cat__obs_3,0.09276544424949384,0.09276544424949384
cat__atm_9.0,0.09091823791945405,0.09091823791945405
cat__int_1.0,0.08950175042042041,0.08950175042042041
cat__atm_4.0,0.08766646871616779,0.08766646871616779
cat__choc_7,0.08664687776874971,0.08664687776874971
cat__obs_7,0.08327004366373317,0.08327004366373317
cat__situ_8.0,0.08210727264493498,0.08210727264493498
cat__place_2,0.07831993471708232,0.07831993471708232
cat__choc_8,0.07513673249477504,0.07513673249477504
cat__infra_3.0,-0.07349874598785217,0.07349874598785217
num__hour_cos,0.07188511803944905,0.07188511803944905
cat__int_9.0,0.06872538570353268,0.06872538570353268
cat__obs_13,0.06755582084962303,0.06755582084962303
cat__manv_2,0.06398049814202583,0.06398049814202583
cat__col_3.0,-0.06381020065102602,0.06381020065102602
num__hour_sin,0.061607355964757866,0.061607355964757866
cat__vosp_3.0,0.05816647752645121,0.05816647752645121
cat__obsm_2,0.054639955738753264,0.054639955738753264
cat__plan_2.0,0.052905689305367,0.052905689305367
cat__manv_21,-0.050782055890203036,0.050782055890203036
cat__lum_5.0,-0.04948906006609754,0.04948906006609754
cat__plan_3.0,0.0459607563959645,0.0459607563959645
cat__plan_4.0,-0.04505972918394205,0.04505972918394205
cat__place_5,-0.03962674513869796,0.03962674513869796
cat__int_2.0,0.039018294000490034,0.039018294000490034
cat__choc_2,-0.03769108923431248,0.03769108923431248
cat__surf_3.0,0.03720471767946134,0.03720471767946134
cat__motor_0,0.031690828034314965,0.031690828034314965
bin__is_weekend,-0.0315997595995441,0.0315997595995441
cat__surf_7.0,0.027879431499021494,0.027879431499021494
cat__obsm_5,-0.026358400457371447,0.026358400457371447
cat__place_8,-0.025056095824122743,0.025056095824122743
cat__catv_43,-0.024360217475643285,0.024360217475643285
num__weekday_sin,-0.02251289250285662,0.02251289250285662
cat__surf_2.0,-0.016726826364323714,0.016726826364323714
cat__manv_18,0.016373556274898952,0.016373556274898952
num__long,-0.015257822527269357,0.015257822527269357
num__day_sin,-0.013620008639285036,0.013620008639285036
cat__infra_2.0,-0.01046120528397999,0.01046120528397999
num__day_cos,-0.010315248377090634,0.010315248377090634
cat__catv_99,0.010153843808079594,0.010153843808079594
cat__prof_1.0,-0.009390492767106993,0.009390492767106993
cat__int_3.0,-0.009286768513571327,0.009286768513571327
cat__surf_4.0,0.009095475759642863,0.009095475759642863
cat__sexe_2,0.00897906668543184,0.00897906668543184
num__month_sin,0.006927452133369611,0.006927452133369611
cat__choc_0,0.006238929256706602,0.006238929256706602
cat__senc_1,-0.005740167091493617,0.005740167091493617
num__weekday_cos,-0.0051212650188758105,0.0051212650188758105
cat__manv_11,-0.0039185375501289985,0.0039185375501289985
cat__motor_5,-0.002581876262099847,0.002581876262099847
cat__place_4,-0.002256656212454541,0.002256656212454541
num__month_cos,0.0006772880027274044,0.0006772880027274044
cat__surf_1.0,7.642462844234061e-08,7.642462844234061e-08
cat__sexe_1,0.0,0.0
cat__senc_2,0.0,0.0
cat__choc_3,0.0,0.0
cat__lum_2.0,0.0,0.0
cat__agg_2.0,0.0,0.0
cat__catu_2,0.0,0.0
cat__place_3,0.0,0.0
cat__obs_9,0.0,0.0
cat__obs_5,0.0,0.0
cat__int_4.0,0.0,0.0
cat__obsm_6,0.0,0.0
cat__situ_4.0,0.0,0.0
cat__place_6,0.0,0.0
cat__vosp_2.0,0.0,0.0
cat__circ_3.0,0.0,0.0
cat__motor_4,0.0,0.0
cat__plan_1.0,0.0,0.0
cat__manv_8,0.0,0.0
cat__infra_0.0,0.0,0.0
cat__atm_5.0,0.0,0.0
cat__prof_2.0,0.0,0.0
cat__col_5.0,0.0,0.0
cat__catr_9.0,0.0,0.0
