original_feature,abs_coefficient
catv,19.64833273248868
manv,8.703427643307355
obs,5.227806129944529
obsm,4.390689459329858
place,3.5525505633898415
infra,2.893365007131272
catu,2.292250779190965
choc,2.0825429823261046
situ,2.073520626047548
col,1.860871512353239
catr,1.351573464367451
int,1.350355237025735
surf,1.3343587512690642
atm,1.2353830956441523
motor,1.19743780031423
ceinture,1.1123566234705264
agg,0.938522415277353
circ,0.6816723988657729
gilet_reflechissant,0.5824549249538798
dispositif_enfant,0.5488756604964056
autre,0.5417521093870248
lum,0.5088004541431626
vosp,0.384085059546169
non determinable,0.35002497995305226
aucun,0.3486057576135981
age,0.3389109248106094
prof,0.28764713848204704
casque,0.28298188656472306
plan,0.2607239834292077
senc,0.2266612843128914
airbag,0.21118753870307383
gants,0.19864465887444244
sexe,0.1756439810628191
lat,0.15476081853720533
hour_cos,0.06556038183617696
is_weekend,0.05055941115317322
hour_sin,0.049234037948518994
month_sin,0.03981763380366266
day_sin,0.03714949007279161
day_cos,0.03566859282294201
weekday_sin,0.022958461847505492
long,0.010471638464897681
month_cos,0.009323783867453288
weekday_cos,0.0033788131145331256
