original_feature,abs_coefficient
catv,21.28684289820703
manv,8.948278643713094
obs,5.561568221677991
obsm,4.632912189653756
place,3.6516637523783624
infra,2.4957154378969997
catu,2.2953063129246143
situ,2.240128020105789
surf,1.9576704091744492
choc,1.9252811826313685
col,1.834118225472456
int,1.5900276813842944
catr,1.4628503184450097
atm,1.383153570284554
motor,1.3038492238485115
ceinture,1.1074488258784871
agg,0.9821215596992229
circ,0.6831912528697173
gilet_reflechissant,0.6133044955878298
autre,0.558838946747524
lum,0.5469403616223723
dispositif_enfant,0.4604799477425196
aucun,0.3828855228745959
vosp,0.37688126708044567
non determinable,0.3674963173286005
age,0.3444897333807122
prof,0.28687079805401516
casque,0.2565913861363526
airbag,0.24126559652864374
senc,0.21828950782808712
sexe,0.18878632670685597
plan,0.18878632670671275
gants,0.16489697547551097
lat,0.1632640364797401
hour_cos,0.06549513510321867
hour_sin,0.06394160569767242
day_cos,0.05467830921386698
month_sin,0.04970495774926002
day_sin,0.0439346427875692
month_cos,0.036728033382538265
is_weekend,0.03323439448904059
weekday_sin,0.02395118626183737
long,0.010005314992456462
weekday_cos,0.008509704890598584
