feature,coefficient,abs_coefficient
cat__catv_38,-1.9478450433791745,1.9478450433791745
cat__obsm_1,-1.8839928581511862,1.8839928581511862
cat__catu_3,1.342401717443535,1.342401717443535
cat__place_10,1.342401717443535,1.342401717443535
cat__manv_22,-1.2702581254224898,1.2702581254224898
cat__catv_39,-1.1700349228194156,1.1700349228194156
cat__catv_21,-1.1233525074714914,1.1233525074714914
bin__ceinture,-1.1124220948595465,1.1124220948595465
cat__catv_80,1.0317210990614378,1.0317210990614378
cat__obsm_4,1.019603687610869,1.019603687610869
cat__agg_1.0,0.9838811159785679,0.9838811159785679
cat__situ_5.0,-0.9444702622023444,0.9444702622023444
cat__catv_37,-0.9324308763939608,0.9324308763939608
cat__catv_50,0.9284164160191806,0.9284164160191806
cat__catv_15,-0.9041932695610544,0.9041932695610544
cat__catv_13,-0.8816449572101113,0.8816449572101113
cat__catv_2,0.8693417452314576,0.8693417452314576
cat__manv_6,0.8271173256705691,0.8271173256705691
cat__manv_13,0.8257354980310113,0.8257354980310113
cat__catu_1,-0.781684523131162,0.781684523131162
cat__obsm_9,-0.7511813757818735,0.7511813757818735
cat__catv_16,-0.7480138674908305,0.7480138674908305
cat__catv_35,0.7396303277137641,0.7396303277137641
cat__obs_2,0.7282055038738524,0.7282055038738524
cat__obs_0,-0.7274171964642171,0.7274171964642171
cat__catv_14,-0.7234336983282761,0.7234336983282761
cat__manv_5,0.7057395492346884,0.7057395492346884
cat__catv_36,0.7025592593341154,0.7025592593341154
cat__place_1,0.6950146468525009,0.6950146468525009
cat__obs_6,0.6911563845352711,0.6911563845352711
cat__infra_7.0,0.6875696766193853,0.6875696766193853
cat__obs_17,0.6677848993013419,0.6677848993013419
cat__catv_31,0.6572604702357259,0.6572604702357259
cat__catv_33,0.6496339332584299,0.6496339332584299
cat__catv_17,-0.6294089252947723,0.6294089252947723
cat__catv_1,0.6206514291044345,0.6206514291044345
cat__col_1.0,0.5952687536194193,0.5952687536194193
cat__catv_20,-0.5880903916979909,0.5880903916979909
bin__gilet_reflechissant,-0.5870210531116227,0.5870210531116227
cat__catv_10,-0.5868494550229573,0.5868494550229573
cat__col_4.0,-0.5749461759775931,0.5749461759775931
cat__infra_1.0,-0.5542246183428646,0.5542246183428646
bin__autre,0.5456326436189016,0.5456326436189016
cat__manv_19,0.49951534682089277,0.49951534682089277
cat__manv_3,-0.48249796802104117,0.48249796802104117
cat__int_7.0,-0.4795603695200855,0.4795603695200855
bin__dispositif_enfant,-0.4788069423680771,0.4788069423680771
cat__choc_9,0.43764352204687645,0.43764352204687645
cat__catv_60,0.43687150563526755,0.43687150563526755
cat__choc_6,-0.4367282585651835,0.4367282585651835
cat__manv_0,0.4236269114355874,0.4236269114355874
cat__manv_4,0.41536451074130115,0.41536451074130115
cat__catr_3.0,0.3885917556467316,0.3885917556467316
cat__situ_6.0,-0.38337793651429064,0.38337793651429064
bin__aucun,0.37699971690967476,0.37699971690967476
cat__catv_40,-0.3703629910073603,0.3703629910073603
cat__obs_14,-0.35564088433900554,0.35564088433900554
cat__catv_34,0.34761430020060086,0.34761430020060086
cat__infra_4.0,0.34361515351070565,0.34361515351070565
bin__non determinable,-0.3426774908551365,0.3426774908551365
num__age,0.3401541131407681,0.3401541131407681
cat__int_5.0,-0.3327993374423061,0.3327993374423061
cat__obs_1,-0.3218572126564228,0.3218572126564228
cat__motor_2,-0.31652862205926613,0.31652862205926613
cat__surf_5.0,-0.3159774659418496,0.3159774659418496
cat__circ_1.0,-0.31430856777723654,0.31430856777723654
