original_feature,abs_coefficient
catv,18.518014403577634
manv,8.053848335641295
obs,4.907130689615114
obsm,3.922825887856064
place,2.4606489413007004
infra,2.3226554298629463
catu,2.124086240574697
situ,2.0779148064784287
choc,1.8453254354228648
col,1.8380087597925456
int,1.3146612643406361
catr,1.164585481588327
ceinture,1.1124220948595465
atm,1.057165295761435
agg,0.9838811159785679
motor,0.9583941031802747
surf,0.7440979773063321
gilet_reflechissant,0.5870210531116227
circ,0.5614971621562782
autre,0.5456326436189016
lum,0.5016531192026662
dispositif_enfant,0.4788069423680771
aucun,0.37699971690967476
non determinable,0.3426774908551365
age,0.3401541131407681
vosp,0.30353754475358063
casque,0.2667844407850039
prof,0.2458171506204897
airbag,0.23386555545245924
senc,0.21947284688955349
lat,0.16287207077890908
gants,0.14776592082038337
plan,0.1347353970027333
hour_cos,0.07209521911727984
hour_sin,0.06094022837543088
is_weekend,0.02858163801929835
weekday_sin,0.021912457189194493
long,0.015060785804123249
sexe,0.009042439375953636
day_cos,0.007731161227593485
day_sin,0.006916101496570321
weekday_cos,0.005286956957049182
month_sin,0.0
month_cos,0.0
